清单序号,原方名,规范方名,出处,主治原文,组成,候选证型,候选证型ID,裁定状态,核定证型,核定证型ID,裁定依据,证据层级,全网资料入口,联网补强状态,需医生最终签字,数据质量备注,逐方网页证据,逐方网页核验
321,五神膏,五神膏,《惠直堂经验方》,贴一切无名肿毒痈疽等症；血余、蛇蜕、蜂房解毒消肿，元参清热凉血，杏仁润散，麻油黄丹收膏，共治痈疽肿毒。,血余、蛇蜕、蜂房、玄参、杏仁,血热,TCM-SYNDROME-29291DD0E45D,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
322,仙传通津救命至灵丹,仙传通津救命至灵丹,《古方汇精》,治裂胞生。及难产数日。血水已干。产户枯涩。命在垂危者。；桂圆肉补血润燥，牛膝引血下行，酒助药力，共奏通津催产之效。；裂胞生，及难产数日，血水已干，产户枯涩，命在垂危者。,桂圆肉、牛膝,血燥,TCM-SYNDROME-B5A11667241B,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
323,香荆散,香荆散,《三因极一病证方论》,治肛门脱出，大人小儿悉主之。；香附理气，荆芥升散，共奏升提固脱之功。,香附子、荆芥穗,中气下陷,TCM-SYNDROME-593D354C4690,采纳,中气下陷,TCM-SYNDROME-593D354C4690,'肛门脱出'为中气下陷主症，方以荆芥升散、香附理气，契合病机。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
324,香薷汤,香薷汤,《医方考》,疟发时，独热无寒者，名曰瘅疟，当责之暑。；香薷解表里暑，扁豆解肠胃暑，厚朴破暑饮，甘草解暑毒，茯神宁心。,香薷、白扁豆、厚朴、茯神、炙甘草,暑热扰心,TCM-SYNDROME-B46CC44FE080,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E9%A6%99%E8%96%B7%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E9%A6%99%E8%96%B7%E6%B1%A4,页面正文命中方名
325,小儿疟疾方,小儿疟疾方,《大小诸证方论》,小儿疟疾；方以柴胡疏肝解郁，白术茯苓健脾，归芍养血，半夏青皮化痰理气，调和肝脾，治小儿疟疾。,柴胡、白术、茯苓、当归身、白芍、半夏、青皮,肝脾气血两虚,TCM-SYNDROME-00C438EB6F14,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
326,小青龙加石膏汤,小青龙加石膏汤,《古今名医方论》,治肺胀咳而上气，烦躁而喘，脉浮者，心下有水。；方中麻黄、桂枝解表散寒，干姜、细辛温肺化饮，石膏清解郁热，五味子敛肺止咳，芍药、甘草和营缓急。；治肺胀咳而上气。烦躁而喘。脉浮者。心下有水。（《金匮方歌括》主治，用于检索召回）,麻黄、桂枝、细辛、芍药、甘草、五味子、干姜、半夏、石膏,表寒肺热,TCM-SYNDROME-C30B052A8D0F,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%B0%8F%E9%9D%92%E9%BE%99%E5%8A%A0%E7%9F%B3%E8%86%8F%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E5%B0%8F%E9%9D%92%E9%BE%99%E5%8A%A0%E7%9F%B3%E8%86%8F%E6%B1%A4,页面正文命中方名
327,泻毒饮,泻毒饮,《古方汇精》,治痘粒干收。；方中生地、玄参、当归滋阴养血，银花、甘草解毒，半夏化痰，金汁、辰砂清热安神，共奏解毒养阴之功。；痘粒干收。,生地黄、玄参、当归、金银花、甘草、半夏,痰热伤阴,TCM-SYNDROME-EA1948941896,采纳,热毒伤阴,TCM-SYNDROME-4542FD469DD8,“痘粒干收”提示阴伤，方用解毒养阴，证属热毒伤阴,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
328,心气痛方,心气痛方,《惠直堂经验方》,心气痛；香附理气止痛，白矾收敛燥湿，酒助药力发汗，共奏行气止痛之功。,香附子、白矾,心脉气滞,TCM-SYNDROME-9E6782B5D9A2,采纳,心脉气滞,TCM-SYNDROME-9E6782B5D9A2,主治“心气痛”，香附理气止痛，属气滞证,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
329,雄黄解毒散,雄黄解毒散,《验方新编》,治一切痈疽溃烂毒势甚者；方中雄黄解毒，白矾燥湿，寒水石清热，共奏解毒敛疮之功,雄黄、白矾、寒水石,湿热化燥,TCM-SYNDROME-CB8FCE0B844A,采纳,热毒炽盛,TCM-SYNDROME-C0CF9C4F077A,治痈疽溃烂毒势甚，雄黄等专解毒，属热毒炽盛,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
330,玄天散,玄天散,《惠直堂经验方》,治肺痈。凡人咳嗽而两胁疼痛者是。即宜速用此方。；玄参、天冬滋阴清热，桔梗、甘草排脓利咽，蒲公英、金银花解毒消痈，共治肺痈初起。,玄参、天冬、桔梗、甘草、蒲公英、金银花,肺热阴虚,TCM-SYNDROME-E36258BFCE80,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
331,熏药方,熏药方,《医方简义》,用于妇人乳疾，需熏乳使收上。；白蔹、防风、羌活祛风散结，外用熏法以通络收乳。,白蔹、防风、羌活,外风,TCM-SYNDROME-D721CD68E4A1,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
332,牙痛立止方,牙痛立止方,《惠直堂经验方》,牙痛；辛夷、防风散风止痛，花椒、蜂房杀虫止痛，共奏散风杀虫止痛之功。,辛夷、花椒、蜂房、防风,外风,TCM-SYNDROME-D721CD68E4A1,采纳,外风,TCM-SYNDROME-D721CD68E4A1,主治明确“散风止痛”，直接支持外风证候。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
333,羊肝散,羊肝散,《古方汇精》,治疳气入眼。并痘后眼脬肿痛羞明。；密蒙花、青葙子、决明子、车前子清肝明目，羊肝引经，治疳积及痘后目疾。,密蒙花、青葙子、决明子、车前子,肝热气滞,TCM-SYNDROME-CAAD8A1BF3B6,采纳,肝火上炎,TCM-SYNDROME-D458E1730BE6,疳气入眼、肿痛羞明，并清肝明目，提示肝热上扰。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%BE%8A%E8%82%9D%E6%95%A3,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E7%BE%8A%E8%82%9D%E6%95%A3,页面正文命中方名
334,阳和生化汤,阳和生化汤,《古方汇精》,产后恶露不行，儿枕作痛，并一切血晕诸症。小产亦宜照服。；温经活血，化瘀止痛。归经：肝、心、脾。；产后恶露不行，儿枕作痛，一切血晕，及小产。,当归、炙甘草、炮姜、川芎、丹参、桃仁,心肝血瘀,TCM-SYNDROME-AF18A9F0CC6B,采纳,血瘀,TCM-SYNDROME-DD4FA175C420,主治恶露不行、儿枕作痛、血晕，显系瘀血内停。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
335,养营惜红煎,养营惜红煎,《古方汇精》,治产后鼻中流血不止。；归芎养血活血，荆芥穗炒黑止血，血余炭化瘀，童便引血下行。；产后鼻中流血不止。,当归尾、川芎、荆芥穗、血余炭,气血瘀滞鼻窍,TCM-SYNDROME-C35A9EACC486,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
336,养元汤,养元汤,《医方简义》,治妊娠。每月加减而服。以养胎元。；方以生地、归身养血，白术、黄芩安胎，黄芪益气，随经加减以养胎元。,生地黄、当归身、白术、黄芩、黄芪,气血两虚,qi_blood_deficiency,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E5%85%BB%E5%85%83%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E5%85%BB%E5%85%83%E6%B1%A4,页面正文命中方名
337,腰痛矣而又头痛方,腰痛矣而又头痛方,《大小诸证方论》,腰痛兼头痛，因肾气不通于脑所致。；补肾之剂，熟地、杜仲专治腰痛，肾旺上通于脑，故头痛亦愈。,熟地黄、杜仲、麦冬、五味子,肾气不足,TCM-SYNDROME-8706B2AF37CC,采纳,肾气不足,TCM-SYNDROME-8706B2AF37CC,原文“肾气不通于脑”，补肾则愈,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
338,咬头方,咬头方,《惠直堂经验方》,疮口不破，需促其出头；蟾酥解毒消肿，麝香活血通窍，共奏促疮出头之效。,蟾酥、麝香,气滞血瘀,qi_stagnation_blood_stasis,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
339,抑气散,抑气散,严氏,治妇人气盛于血，变生诸证，头晕膈满；手太阴、少阳药。香附散郁气，陈皮调诸气，茯神安心气，甘草缓正气。；治妇人气盛于血，变生诸证。头晕，膈满。,香附、陈皮、茯神、甘草,心脉气滞,TCM-SYNDROME-9E6782B5D9A2,采纳,气滞,TCM-SYNDROME-7F85B83ECF9F,主治“气盛于血”致头晕膈满，散郁调气,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
340,银花甘草汤,银花甘草汤,《验方新编》,凡肿毒初起，一切恶毒，无不立消。但宜早服方可消散，迟则疮毒已成，脓必外溃，无从消散。；金银花清热解毒，生甘草调和解毒，清酒助药力，共奏消散肿毒之功。,金银花、甘草,三焦实热,TCM-SYNDROME-11394BF7307F,采纳,火毒,TCM-SYNDROME-386034674214,主治肿毒初起，清热解毒消散,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
341,又治火泻方,又治火泻方,《大小诸证方论》,火泻，完谷不化，饮食下喉即出，昼夜有泻数十次者，甚至有百次者；补肾水以制火，使火有居处而不上腾，非止泻而泻自止,熟地黄、山茱萸、甘草、茯苓、车前子、白芍,肾阴虚火旺,TCM-SYNDROME-C590B2C00B3B,采纳,肾阴虚火旺,TCM-SYNDROME-C590B2C00B3B,主治“火泻”，“补肾水以制火”,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
342,又治脾泄丸（散）方,又治脾泄丸（散）方,《大小诸证方论》,脾泄；健脾渗湿止泻，归脾、胃经。,白术、茯苓、白扁豆、薏苡仁、谷芽、陈皮,湿困脾胃,TCM-SYNDROME-064EF6858A5E,采纳,脾虚湿困,spleen_deficiency_dampness,主治“脾泄”，“健脾渗湿止泻”,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
343,玉屑膏,玉屑膏,《三因极一病证方论》,治尿血，并五淋砂石，疼痛不可忍受者。；黄芪补气升阳，人参益气固脱，蜜炙萝卜润下，共奏益气通淋止痛之功。,黄芪、人参,气不摄血,TCM-SYNDROME-C1348758E444,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
344,振阳汤,振阳汤,《医方简义》,治阳痿症。；温补肾阳，填精固涩，主治阳痿。；阳痿。,鹿角霜、肉苁蓉、怀牛膝、枸杞子、远志、菟丝子、大枣,肾阳不足,TCM-SYNDROME-86857429AD3F,采纳,肾阳不足,TCM-SYNDROME-86857429AD3F,主治“治阳痿症”，“温补肾阳”,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
345,止血方,止血方,《惠直堂经验方》,止血。；生地、元参滋阴凉血，当归养血，荆芥炒黑止血，三七化瘀止血，共奏止血之功。,生地黄、当归、玄参、荆芥、三七,阴虚血瘀,TCM-SYNDROME-B477ECF11A64,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
346,治滞痰方,治滞痰方,《大小诸证方论》,痰之滞，乃气之滞也，不补气而惟去痰，未见痰去而病消也。；补气化痰，人参白术补气，茯苓陈皮白芥子花粉苏子化痰降气。,人参、白术、茯苓、陈皮、白芥子、花粉、苏子,气虚痰结,TCM-SYNDROME-A503C0F9A3B1,采纳,气虚痰结,TCM-SYNDROME-A503C0F9A3B1,原文强调“补气而化痰”，人参白术补气，针对气虚为本，痰滞为标。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
347,种玉酒七,种玉酒七,《古方汇精》,治妇女经水不调，气血乖和，不能受孕，或生过一胎，停隔多年。；当归养血活血，远志散滞行气消痰，酒浸温通，调和气血。,当归、远志,气血失调,TCM-SYNDROME-4FD46B37E9BB,采纳,气血失调,TCM-SYNDROME-4FD46B37E9BB,主治明确“气血乖和”，方中当归养血，远志行气，酒浸调和气血。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
348,朱雀丸,朱雀丸,《医方考》,惊气怔忡；茯神宁心，沉香下气，气下则怔忡瘥,茯神、沉香,心脉气滞,TCM-SYNDROME-9E6782B5D9A2,采纳,心脉气滞,TCM-SYNDROME-9E6782B5D9A2,“惊气怔忡”因气机逆乱，沉香下气则怔忡瘥，病机为气滞心胸。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E6%9C%B1%E9%9B%80%E4%B8%B8,原文直接支持；本轮提供标准与目录入口,是,,https://www.yixue.com/%E6%9C%B1%E9%9B%80%E4%B8%B8,页面正文命中方名
349,诸疝初起方,诸疝初起方,《验方新编》,诸疝初起；荔枝核行气散寒，小茴香温肾暖肝，紫背天葵清热散结，共奏理气止痛之功。,荔枝核、小茴香、紫背天葵,寒热错杂,TCM-SYNDROME-BBEC651B5E26,采纳,寒热错杂,TCM-SYNDROME-BBEC651B5E26,方中荔枝核、小茴香散寒，紫背天葵清热，寒热并用针对错杂病机。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
350,逐狐汤,逐狐汤,《惠直堂经验方》,治狐疝。日则缩而痛。夜则出而安。且能强阳善战。是真狐疝也。；方用人参、白术、茯苓补气健脾，肉桂温阳，橘核、白薇、荆芥散结疏肝，共治狐疝。,人参、白术、茯苓、肉桂、橘核、白薇、荆芥,肝脾气滞,TCM-SYNDROME-3E2CD824EE97,采纳,肝脾气滞,TCM-SYNDROME-3E2CD824EE97,方中橘核、荆芥疏肝散结，参术苓补气健脾，提示肝郁气滞兼脾虚。,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
351,走精黄病方,走精黄病方,《古方汇精》,面目俱黄，多睡，舌紫甚而裂，若爪甲黑者死。；淡豆豉宣郁除烦，牛膝引血下行，外擦内饮以退黄。,淡豆豉、牛膝,下焦蓄血,TCM-SYNDROME-F2311322F959,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
352,阿胶饮,阿胶饮,《三因极一病证方论》,治小便遗失不禁。；阿胶补血，牡蛎固涩，鹿茸温肾，共奏固脬止遗之效。,阿胶、牡蛎、鹿茸,,,采纳,肾虚不固,TCM-SYNDROME-8A2B81FE85B4,主治“小便遗失不禁”，直指肾虚不固、膀胱失约,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
353,百合地黄汤,百合地黄汤,《绛雪园古方选注》,百合病，未经汗吐下者，溺时头痛，属厥阴、阳明二经为病。；补阴之法，治百脉一宗之病，中病勿更服，恐变症。；治百合病。百合病者，百脉一宗，悉致其病也。（《退思集类方歌注》主治，用于检索召回）,百合、生地黄,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%99%BE%E5%90%88%E5%9C%B0%E9%BB%84%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E7%99%BE%E5%90%88%E5%9C%B0%E9%BB%84%E6%B1%A4,页面正文命中方名
354,百合知母汤,百合知母汤,《绛雪园古方选注》,治百合病发汗后者。（《退思集类方歌注》主治，用于检索召回）,百合、知母,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html；https://www.yixue.com/%E7%99%BE%E5%90%88%E7%9F%A5%E6%AF%8D%E6%B1%A4,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,https://www.yixue.com/%E7%99%BE%E5%90%88%E7%9F%A5%E6%AF%8D%E6%B1%A4,页面正文命中方名
355,败毒托里散,败毒托里散,《医方集宜》,治疰节疔生于手指上,人参、黄芪、当归、川芎、芍药、白术、茯苓、白芷、金银花、甘草、防风,,,采纳,火毒炽盛,TCM-SYNDROME-7E87F04A76C1,主治“疰节疔生于手指上”，属火毒炽盛之疔疮,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
356,败毒至圣散,败毒至圣散,《惠直堂经验方》,治大小肠痈。；金银花败毒补虚，当归活血，地榆凉血，薏苡仁排脓，合治肠痈。,金银花、当归、地榆、薏苡仁,,,留空,,,主治原文不足以直接绑定受控核心证候；按安全默认留空。,D-证据不足,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,待逐方新增原典/权威二级来源后复审,是,不得仅据方名、药味或模型候选强行定证。,,无有效页面（HTTP 404）
357,备用要方,备用要方,《痧胀玉衡》,痧有因于风者，此方主之。；祛风散邪，理气解表。归经：肺、脾、肝。,防风、陈皮、细辛、金银花、荆芥、枳壳,,,采纳,风邪,TCM-SYNDROME-9382BFDA22CF,“痧有因于风者，此方主之”，明确针对风邪致病,A-原清单主治/原典；受控证型归一,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=C71A9DAD24CB1252F12439D1F045DA6A；https://www.samr.gov.cn/bzjss/bzjd/art/2022/art_ae386988ba3a44f387bb5634b5f2aa08.html,原文直接支持；本轮提供标准与目录入口,是,,,无有效页面（HTTP 404）
