序号,方名,出处,推导流派,原确认方式,核定建议,核定方式,功效,主治,核定依据,证据层级,证据网址,需医生最终签字,备注
194,麻黄细辛附子汤,《伤寒论》,经方思路,规则级,是,规则级,助阳解表,素体阳虚，外感风寒，无汗恶寒，发热倦卧，苔白脉反沉者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
195,麻黄连翘赤小豆汤,《伤寒论》,经方思路,规则级,是,规则级,宣肺利水；清热渗湿,阳黄兼表证，发热恶寒，无汗身痒，周身黄染如橘色，脉浮滑,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
196,麻黄附子甘草汤,《伤寒论》,经方思路,规则级,是,规则级,助阳解表,少阴病，恶寒身疼，无汗，微发热，脉沉微者,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
197,黄土汤,《金匮要略》,经方思路,规则级,是,规则级,温阳健脾；养血止血,脾阳不足，脾不统血证,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
198,黄芩人参汤,《伤寒论》,经方思路,规则级,是,规则级,,,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
199,黄芩汤,《伤寒论》,经方思路,规则级,是,规则级,清热止痢；和中止痛,伤寒，太阳与少阳合病，身热口苦，腹痛下利,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
200,黄芩滑石汤,《温病条辨》,温病思路,规则级,是,规则级,清热利湿,湿温病或暑温病热重于湿者,出处为温病学派核心著作，归入温病思路。,A-规则级：著作归属,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
201,黄芪建中汤,《金匮要略》,经方思路,规则级,是,规则级,温中补气；和里缓急,虚劳里急，诸不足，小腹急痛，脐下虚满，面色萎黄，唇口干燥，胸中烦悸，少力身重，骨肉酸痛，行动喘乏，食欲不振，病后虚弱，自汗盗汗,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
202,黄芪桂枝五物汤,《金匮要略》,经方思路,规则级,是,规则级,益气温经；和血通痹,血痹。阴阳俱微，外证肌肤麻木不仁，如风痹状。寸口关上微，尺中小紧，脉微涩而紧,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
203,黄连阿胶汤,《伤寒论》,经方思路,规则级,是,规则级,滋阴降火,少阴病，得之二三日以上，心中烦，不得卧,出处为《伤寒论》或《金匮要略》，按狭义经方口径归入经方思路。,A-规则级：著作归属,https://cntcm.com.cn/content/202407/03/c253460.html,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
204,黎峒丸,《景岳全书》,温补/扶阳思路,逐首勾选,否,逐首建议,续筋接骨；疏风活络,金疮跌仆伤，痈疽疮痛，疯犬咬伤，蜂蛇蝎毒,该方虽出《景岳全书》，但核心治法为疏肝、清热、化痰、解表、活血或攻瘀，并非温补优先：续筋接骨、疏风活络、金疮跌仆伤，痈疽疮痛，疯犬咬伤，蜂蛇蝎毒,B-学派课程+逐方功效主治,https://higher.smartedu.cn/course/671ad50b16d8a05eedca4325；https://amr.sz.gov.cn/attachment/1/1620/1620360/9772233.pdf,是,流派只作已准入候选排序加分，不放宽安全/证据准入。
